,NAME,PRICE,RATING
0,"ASUS ROG Phone 5 (Black, 256 GB)","₹57,999",4.6
1,"ASUS ROG Phone 5 (Black, 128 GB)","₹49,999",4.4
2,"ASUS ROG Phone 3 (Black, 128 GB)","₹46,999",4.4
3,"ASUS ZenFone 5Z (Midnight Blue, 128 GB)","₹36,299",4.5
4,"ASUS ROG Phone 3 (Black, 128 GB)","₹49,999",4.4
5,"ASUS ZenFone 5Z (Meteor Silver, 128 GB)","₹36,299",4.5
6,"ASUS Zenfone Max Pro M1 (Grey, 32 GB)","₹13,199",4.3
7,"ASUS Zenfone Selfie (Silver, 16 GB)","₹14,999",3.9
8,"ASUS Zenfone Max Pro M1 (Grey, 64 GB)","₹17,999",4.3
9,"ASUS Zenfone Go (Gold, 8 GB)","₹5,299",3.8
10,"ASUS Zenfone Go 5.5 (Gold, 32 GB)","₹6,999",3.7
11,"ASUS Zenfone Go (2nd Gen) (Red, 8 GB)","₹5,299",3.7
12,"ASUS Zenfone Go (Silver, 8 GB)","₹5,299",3.8
13,"ASUS ZenFone Lite L1 (Gold, 16 GB)","₹7,199",4.2
14,"ASUS ZenFone Lite L1 (Black, 16 GB)","₹7,199",4.2
15,"ASUS ROG (Black, 128 GB)","₹26,499",4.3
16,"ASUS Zenfone Go 5.0 (Black, 8 GB)","₹7,999",4
17,"ASUS Zenfone Selfie (Aqua Blue, 32 GB)","₹16,999",4
18,"ASUS Zenfone Go (Silver, 8 GB)","₹5,699",3.8
19,"ASUS Zenfone Go 4.5 LTE (Red, 8 GB)","₹7,499",3.6
20,"ASUS Zenfone Go 4.5 (Pink, 8 GB)","₹5,299",3.9
21,"ASUS Zenfone Go (Silver Blue, 8 GB)","₹5,699",3.8
22,"ASUS Zenfone C (Red, 8 GB)","₹6,299",3.8
23,"ASUS ROG Phone 5 (White, 128 GB)","₹49,999",4.4
